depmap_id,cell_line_name
ACH-000650,IGR-37
ACH-000651,SW620
ACH-000652,SUIT-2
ACH-000654,Raji
ACH-000655,SF268
ACH-000656,SU-DHL-8
ACH-000657,A2780
ACH-000660,SU-DHL-5
ACH-000662,COR-L23
ACH-000663,OVTOKO
ACH-000664,SU-DHL-1
ACH-000665,SK-MES-1
ACH-000667,HCC-44
ACH-000668,HCC70
ACH-000669,SW 900
ACH-000670,SBC-5
ACH-000672,IA-LM
ACH-000674,NUGC-4
ACH-000677,SW 1573
ACH-000678,MKN7
ACH-000679,OE19
ACH-000680,SW948
ACH-000681,A549
ACH-000684,KMRC-1
ACH-000688,OV7
ACH-000689,RH-18
ACH-000691,HCC2157
ACH-000693,KYSE-180
ACH-000694,TE-9
ACH-000696,OVCAR-8
ACH-000697,A3/KAW
ACH-000698,DMS 53
ACH-000699,HCC1395
ACH-000702,L-1236
ACH-000703,DMS 79
ACH-000704,OAW42
ACH-000706,EKVX
ACH-000713,Caov-3
ACH-000714,KMS-11
ACH-000716,TT2609-C02
ACH-000717,COLO-680N
ACH-000718,NCI-H2291
ACH-000719,RMG-I
ACH-000720,TCCSUP
ACH-000722,SNU-C1
ACH-000725,HCC202
ACH-000727,NCI-H2066
ACH-000729,NCI-H1963
ACH-000730,SK-MEL-5
ACH-000733,NCI-H1838
ACH-000738,GB-1
ACH-000740,A-253
ACH-000743,COR-L95
ACH-000744,NCI-H1623
ACH-000745,MOLP-8
ACH-000748,SJSA-1
ACH-000749,DMS 273
ACH-000750,LOX IMVI
ACH-000751,OCI-M1
ACH-000752,NCI-H196
ACH-000754,L-428
ACH-000755,HCC2218
ACH-000756,GI-1
ACH-000759,MDA-MB-175-VII
ACH-000763,MM1-S
ACH-000766,NCI-H1648
ACH-000767,NCI-H526
ACH-000768,MDA-MB-231
ACH-000770,P31/FUJ
ACH-000772,TE 441.T
ACH-000775,NCI-H727
ACH-000776,ONS-76
ACH-000778,HSC-3
ACH-000780,NCI-H1105
ACH-000781,NCI-H2023
ACH-000783,CAMA-1
ACH-000784,KYSE-70
ACH-000786,Daudi
ACH-000787,LXF-289
ACH-000788,A2058
ACH-000789,NCI-H810
ACH-000790,SHP-77
ACH-000792,BFTC-909
ACH-000793,KATO III
ACH-000794,BICR 22
ACH-000795,MOLT-13
ACH-000798,CL-40
ACH-000800,NCI-H446
ACH-000802,BFTC-905
ACH-000803,COLO 668
ACH-000804,NB-1
ACH-000805,COLO-679
ACH-000806,L-540
ACH-000810,SK-MEL-30
ACH-000811,SK-OV-3
ACH-000812,COLO-783
ACH-000814,Hs 939.T
ACH-000815,KM-H2
ACH-000816,NCI-H524
ACH-000817,RPMI 8226
ACH-000818,BT-483
ACH-000821,EJM
ACH-000822,SK-MEL-24
ACH-000823,KYSE-140
ACH-000824,KYSE-510
ACH-000825,HOP-92
ACH-000826,CAL-12T
ACH-000827,WM-793
ACH-000828,ZR-75-30
ACH-000830,NCI-H1436
ACH-000832,CAL 27
ACH-000835,GCT
ACH-000838,AMO-1
ACH-000841,NCI-H2087
ACH-000843,HARA
ACH-000846,FaDu
ACH-000847,HGC-27
ACH-000849,MDA-MB-468
ACH-000852,NCI-H1435
ACH-000853,NCI-H661
ACH-000855,KYSE-150
ACH-000856,CAL-51
ACH-000857,CAL-85-1
ACH-000858,KNS-62
ACH-000859,HCC1954
ACH-000860,NCI-H358
ACH-000861,HOP-62
ACH-000863,DBTRG-05MG
ACH-000864,COLO 684
ACH-000866,NCI-H1048
ACH-000867,ChaGo-K-1
ACH-000869,NCI-H1568
ACH-000871,NCI-H510
